epoch,accuracy,loss,top3,val_accuracy,val_loss,val_top3
0,0.7690170407295227,0.7348324060440063,0.9260159730911255,0.813209056854248,0.6504628658294678,0.9335494041442871
1,0.7935914993286133,0.6515834927558899,0.9347863793373108,0.8209075927734375,0.6223899126052856,0.9339545965194702
2,0.8137373924255371,0.5997872352600098,0.9441646337509155,0.8253646492958069,0.6092835664749146,0.9388168454170227
3,0.8245050311088562,0.5522772073745728,0.9526745676994324,0.8273906111717224,0.598322868347168,0.9448946714401245
4,0.8329281210899353,0.5242039561271667,0.9537165760993958,0.8298217058181763,0.58684241771698,0.942868709564209
5,0.8383119106292725,0.49675247073173523,0.9584056735038757,0.8358995318412781,0.5669731497764587,0.9465153813362122
6,0.8516846299171448,0.45486265420913696,0.9637026786804199,0.8350891470909119,0.5672427415847778,0.9465153813362122
7,0.8535950183868408,0.42421552538871765,0.965265691280365,0.8395462036132812,0.5775249004364014,0.9465153813362122
8,0.8704411387443542,0.39159125089645386,0.9692601561546326,0.8358995318412781,0.5653319954872131,0.9469205737113953
9,0.8720041513442993,0.3867050111293793,0.969868004322052,0.8290113210678101,0.588353157043457,0.9497568607330322
10,0.8787773251533508,0.36361464858055115,0.9722993969917297,0.8334683775901794,0.5585858225822449,0.9513776302337646
11,0.8820770978927612,0.3433097302913666,0.9752517938613892,0.8318476676940918,0.5755012631416321,0.9436790943145752
12,0.8859847187995911,0.3269706666469574,0.9759464859962463,0.8363047242164612,0.5664876103401184,0.952593207359314
13,0.8957971334457397,0.30341291427612305,0.9802882671356201,0.835494339466095,0.5830944776535034,0.9485413432121277
14,0.9033518433570862,0.28604236245155334,0.9815040230751038,0.8391410112380981,0.5764167904853821,0.9497568607330322
15,0.9043070673942566,0.26945263147354126,0.9839354157447815,0.8395462036132812,0.590287446975708,0.9501620531082153
