sample_id,path,label,is_ood,source_id,license_id,group_id,split,split_hint,sha256,dhash,duplicate_of,width,height,mime,status
b724d6ef6f892b07cd312af7,__ood__/2331886.jpg,__ood__,true,food101_official,food101_official,2331886,validation,,2b51bbbddce2abb2c707f3c3a69ed83e68305ff6541185c313be2b4d76474e98,398055f5eecfcf5c,,289,512,image/jpeg,ok
2a0ad42838fceb291c075463,__ood__/1319666.jpg,__ood__,true,food101_official,food101_official,1319666,validation,,9da6a8a462198d9df4b2d96b8a64b6fc747e959748cb1b73c4dec537d3adda28,0f69390b9838060f,,512,512,image/jpeg,ok
2dc4240a87c8b4541c7bf32e,__ood__/1118856.jpg,__ood__,true,food101_official,food101_official,1118856,validation,,1af03778a062eff67269b9150ce82812c55c7927356d46e0481339a021c89042,0f1b0b1d0f070f09,,512,512,image/jpeg,ok
09a7f2dcf0aa15096a245792,__ood__/3261933.jpg,__ood__,true,food101_official,food101_official,3261933,test,,0ce1831e428e284f65d681e104b997dac82f0885354b6d9acc3b7950daa4382f,343e6e3fc7262f0f,,512,512,image/jpeg,ok
9b1e8f370de3300179f1b503,__ood__/1944551.jpg,__ood__,true,food101_official,food101_official,1944551,validation,,9ff54d72315d28765903d5b4dcaea6c6498c39f55b579c2b0c6fcace96e0b122,ee4f399884e0fc7f,,512,512,image/jpeg,ok
98b5b6d40599f432d46a65ee,__ood__/2940779.jpg,__ood__,true,food101_official,food101_official,2940779,validation,,721580bd3b23bc4fd6750b4ff58dd23ed4601ed55a461328626cd5fb8a98c928,8f113998580d0211,,512,512,image/jpeg,ok
055cf86699fab77cf78b20f5,__ood__/2720453.jpg,__ood__,true,food101_official,food101_official,2720453,test,,d4235b6a3d37b673df05950b171378d4c2b32710df85f5ec9047213e97359b75,0f8f8f8f3f2f3b33,,512,512,image/jpeg,ok
dee82997a719d3aab58779ac,__ood__/1335304.jpg,__ood__,true,food101_official,food101_official,1335304,test,,e07134336534e43a70dd1d4ed24d6c453a5e09c1469e4549cb3801cb9aca4685,1f1b2e23311d1d8f,,512,512,image/jpeg,ok
5c7282346ce015092b616bf5,__ood__/1991506.jpg,__ood__,true,food101_official,food101_official,1991506,validation,,c3816fc04265e1ddbb97226be3d8e9265e1286d117329d8b205b50d198d9e93f,9c0c0c1c1d91e4ec,,512,512,image/jpeg,ok
78114a178dbc504c9187268d,__ood__/3880271.jpg,__ood__,true,food101_official,food101_official,3880271,validation,,e8a4212ae85a79e9fba5b0bc5a7d60132f48fef80e39292944cd9b8bb2869ebc,1dd99953bb9eb474,,512,512,image/jpeg,ok
4f4d8db9350ad63ea8effdfe,__ood__/205641.jpg,__ood__,true,food101_official,food101_official,205641,validation,,d800f7862d34eee15b55e68d571f62fdf274bc653889b28837aff2ae07cc79aa,4f0727271d1d7933,,512,512,image/jpeg,ok
