epoch,accuracy,loss,top3,val_accuracy,val_loss,val_top3
0,0.8731428384780884,0.3516553044319153,0.9882857203483582,0.9106666445732117,0.27658045291900635,0.9866666793823242
1,0.8902857303619385,0.31159472465515137,0.9908571243286133,0.9106666445732117,0.2574865221977234,0.9866666793823242
2,0.9062857031822205,0.27472972869873047,0.9925714135169983,0.909333348274231,0.25526028871536255,0.9866666793823242
3,0.9142857193946838,0.23719225823879242,0.9945714473724365,0.9213333129882812,0.23298457264900208,0.9879999756813049
4,0.9245714545249939,0.22024230659008026,0.9928571581840515,0.9133333563804626,0.25421440601348877,0.9853333234786987
5,0.9277142882347107,0.2050410509109497,0.994857132434845,0.9240000247955322,0.24091540277004242,0.9893333315849304
6,0.9362857341766357,0.1816459745168686,0.9971428513526917,0.9200000166893005,0.22940820455551147,0.9879999756813049
7,0.9434285759925842,0.16578803956508636,0.9971428513526917,0.9226666688919067,0.2211180180311203,0.9893333315849304
8,0.9457142949104309,0.1518799215555191,0.9974285960197449,0.9240000247955322,0.226424440741539,0.9879999756813049
9,0.9457142949104309,0.1512775868177414,0.9977142810821533,0.9279999732971191,0.21771591901779175,0.9893333315849304
10,0.9531428813934326,0.13668233156204224,0.9974285960197449,0.9253333210945129,0.23008589446544647,0.9879999756813049
11,0.9588571190834045,0.11670148372650146,0.9988571405410767,0.9279999732971191,0.2171354591846466,0.9906666874885559
12,0.9625714421272278,0.10882612317800522,0.9988571405410767,0.9266666769981384,0.24352476000785828,0.9866666793823242
13,0.9645714163780212,0.10183905810117722,0.9994285702705383,0.9253333210945129,0.24341906607151031,0.9879999756813049
14,0.9642857313156128,0.0962301716208458,1.0,0.9200000166893005,0.24222852289676666,0.9866666793823242
15,0.9728571176528931,0.07547400891780853,1.0,0.9213333129882812,0.24465572834014893,0.9906666874885559
16,0.973714292049408,0.07607028633356094,0.9991428852081299,0.9240000247955322,0.23989591002464294,0.9906666874885559
